code,name,description,language,category,category-name,category-description
11110,Education policy and administrative management,"Education sector policy, planning and programmes; aid to education ministries,
                administration and management systems; institution capacity building and advice; school
                management and governance; curriculum and materials development; unspecified education
                activities.",en,111,"Education, level unspecified","Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities."
11120,Education facilities and training,"Educational buildings, equipment, materials; subsidiary services to education
                (boarding facilities, staff housing); language training; colloquia, seminars, lectures,
                etc.",en,111,"Education, level unspecified","Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities."
11130,Teacher training,"Teacher education (where the level of education is unspecified); in-service and
                pre-service training; materials development.",en,111,"Education, level unspecified","Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities."
11182,Educational research,"Research and studies on education effectiveness, relevance and quality;
                systematic evaluation and monitoring.",en,111,"Education, level unspecified","Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities."
11220,Primary education,"Formal and non-formal primary education for children; all elementary and first
                cycle systematic instruction; provision of learning materials.",en,112,Basic education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.
11230,Basic life skills for youth and adults,"Formal and non-formal education for basic life skills for young people and
                adults (adults education); literacy and numeracy training.",en,112,Basic education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.
11240,Early childhood education,Formal and non-formal pre-school education.,en,112,Basic education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.
11320,Secondary education,"Second cycle systematic instruction at both junior and senior
                levels.",en,113,Secondary education,Second cycle systematic instruction at both junior and senior levels.
11330,Vocational training,"Elementary vocational training and secondary level technical education; on-the
                job training; apprenticeships; including informal vocational training.",en,113,Secondary education,Second cycle systematic instruction at both junior and senior levels.
11420,Higher education,"Degree and diploma programmes at universities, colleges and polytechnics;
                scholarships.",en,114,Post-secondary education,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships."
11430,Advanced technical and managerial training,"Professional-level vocational training programmes and in-service
                training.",en,114,Post-secondary education,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships."
12110,Health policy and administrative management,"Health sector policy, planning and programmes; aid to health ministries, public
                health administration; institution capacity building and advice; medical insurance
                programmes; unspecified health activities.",en,121,"Health, general","Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities."
12181,Medical education/training,Medical education and training for tertiary level services.,en,121,"Health, general","Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities."
12182,Medical research,General medical research (excluding basic health research).,en,121,"Health, general","Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities."
12191,Medical services,"Laboratories, specialised clinics and hospitals (including equipment and
                supplies); ambulances; dental services; mental health care; medical rehabilitation;
                control of non-infectious diseases; drug and substance abuse control [excluding
                narcotics traffic control (16063)].",en,121,"Health, general","Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities."
12220,Basic health care,"Basic and primary health care programmes; paramedical and nursing care
                programmes; supply of drugs, medicines and vaccines related to basic health
                care.",en,122,Basic health,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care."
12230,Basic health infrastructure,"District-level hospitals, clinics and dispensaries and related medical
                equipment; excluding specialised hospitals and clinics (12191).",en,122,Basic health,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care."
12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods,
                child feeding, school feeding); determination of micro-nutrient deficiencies; provision
                of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food
                hygiene education; household food security.",en,122,Basic health,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care."
